Respondent_ID,Age_Group,City_Tier,Occupation,Monthly_Reading_Hours,Primary_Format,Reading_Motivation,Attention_Span,Aesthetic_Importance,Influence_Source,Design_Language,Comp_Tea_Coffee,Comp_Scented_Candle,Comp_Music,Comp_Snacks,Annotation_Style,Inv_Kindle,Inv_Reading_Light,Inv_Bookmarks,Inv_Scented_Candles,Inv_Planner,Favorite_Genre,Gifting_Frequency,Monthly_Lifestyle_Spend,Price_Threshold_Cheap,Price_Threshold_Expensive,Coffee_Benchmark,Customization_Premium,Eco_Importance,Material_Preference,AI_Trust,Subscription_Interest,Final_Intent
RESP_0012,18-24,Tier 3,Corporate,10,Physical Books,Digital Detox,<15m,1,Social Media/Influencers,Minimalist/Modern,1,1,1,0,Sticky Tabs,0,1,1,1,1,Mythology/History,0,1538,369,2171,No,No,4,Genuine Leather,No,One-time Purchase,No
RESP_0013,25-34,Tier 3,Corporate,8,E-books/Kindle,Learn/Grow,15-30m,5,Peer Recommendations,Dark Academia/Vintage,1,1,0,0,None,1,0,1,1,1,Self-Help,4-6,4048,434,2513,No,Yes,5,Recycled Wood,No,One-time Purchase,Maybe
RESP_0014,35+,Tier 3,Student,4,Physical Books,Social Status,<15m,5,Bestseller Lists,Dark Academia/Vintage,1,1,0,0,Sticky Tabs,1,0,1,1,0,Romance,1-3,6185,704,3085,Yes,Yes,5,Handloom Fabric,No,Monthly Surprise Box,Yes
RESP_0015,18-24,Tier 3,Corporate,13,Audiobooks,Social Status,<15m,1,Social Media/Influencers,Minimalist/Modern,0,0,0,0,Sticky Tabs,0,0,0,1,1,Mythology/History,4-6,3940,573,2543,No,Yes,4,Genuine Leather,No,One-time Purchase,Maybe
RESP_0016,35+,Tier 2,Corporate,5,Physical Books,Social Status,15-30m,5,Peer Recommendations,Dark Academia/Vintage,1,0,1,0,Digital Notes,0,1,1,0,1,Sci-Fi,7+,4416,605,2946,No,Yes,2,Genuine Leather,No,Monthly Surprise Box,Maybe
RESP_0017,18-24,Tier 1,Creative/Freelancer,5,Hybrid,Escape/Relax,<15m,5,Bestseller Lists,Dark Academia/Vintage,1,1,1,1,None,1,0,0,1,0,Sci-Fi,1-3,6001,681,2368,Yes,Yes,3,Handloom Fabric,No,Monthly Surprise Box,Maybe
RESP_0018,18-24,Tier 1,Corporate,11,Physical Books,Digital Detox,15-30m,5,Bestseller Lists,Dark Academia/Vintage,0,1,0,0,None,0,1,1,1,1,Sci-Fi,1-3,7345,713,2813,Yes,Yes,1,Handloom Fabric,Yes,Monthly Surprise Box,Yes
RESP_0019,25-34,Tier 2,Corporate,9,Physical Books,Digital Detox,15-30m,4,Social Media/Influencers,Dark Academia/Vintage,0,1,1,1,None,1,1,0,1,1,Self-Help,1-3,2326,527,2277,No,Yes,4,Metallic,Yes,One-time Purchase,Yes
RESP_0020,35+,Tier 1,Corporate,4,E-books/Kindle,Escape/Relax,1hr+,1,Peer Recommendations,Minimalist/Modern,0,0,1,0,Dog-ear,1,0,0,1,1,Romance,1-3,9248,944,3548,Yes,Yes,5,Genuine Leather,No,Monthly Surprise Box,No
RESP_0021,18-24,Tier 1,Student,14,Physical Books,Learn/Grow,30-60m,2,Peer Recommendations,Minimalist/Modern,0,0,1,0,None,0,1,0,0,1,Romance,1-3,13324,1133,4292,Yes,No,4,Genuine Leather,Yes,Monthly Surprise Box,No
RESP_0022,18-24,Tier 1,Student,6,E-books/Kindle,Escape/Relax,15-30m,3,Peer Recommendations,Minimalist/Modern,0,0,1,0,Sticky Tabs,1,0,0,0,0,Mythology/History,1-3,7712,614,2793,Yes,No,2,Recycled Wood,No,Monthly Surprise Box,No
RESP_0023,18-24,Tier 3,Corporate,7,E-books/Kindle,Digital Detox,<15m,4,Social Media/Influencers,Dark Academia/Vintage,0,1,0,0,Digital Notes,1,0,0,1,1,Self-Help,1-3,2509,601,2006,No,Yes,2,Metallic,Yes,One-time Purchase,Yes
RESP_0024,18-24,Tier 1,Student,8,Hybrid,Learn/Grow,<15m,4,Social Media/Influencers,Traditional Indian/Ikat,1,1,1,0,Digital Notes,1,0,1,1,1,Sci-Fi,7+,6613,656,2195,Yes,Yes,2,Metallic,Yes,One-time Purchase,Maybe
RESP_0025,18-24,Tier 1,Student,11,Physical Books,Social Status,15-30m,2,Bestseller Lists,Minimalist/Modern,0,1,1,1,None,1,0,1,1,0,Thriller/Mystery,4-6,15710,1051,3359,Yes,No,5,Handloom Fabric,Yes,Monthly Surprise Box,No
RESP_0026,25-34,Tier 2,Corporate,13,Physical Books,Social Status,15-30m,3,Bestseller Lists,Minimalist/Modern,0,0,1,0,Sticky Tabs,0,1,0,0,1,Thriller/Mystery,0,7114,797,3034,Yes,No,5,Metallic,No,One-time Purchase,Maybe
RESP_0027,35+,Tier 3,Creative/Freelancer,9,Physical Books,Escape/Relax,15-30m,3,Social Media/Influencers,Minimalist/Modern,0,0,0,0,None,0,0,1,0,0,Thriller/Mystery,1-3,4453,459,2451,No,No,3,Recycled Wood,No,Monthly Surprise Box,No
RESP_0028,25-34,Tier 1,Corporate,6,E-books/Kindle,Digital Detox,30-60m,3,Bestseller Lists,Minimalist/Modern,1,0,1,0,Digital Notes,0,0,1,0,1,Thriller/Mystery,4-6,10860,978,3890,Yes,Yes,5,Metallic,No,One-time Purchase,Yes
RESP_0029,18-24,Tier 2,Corporate,8,Hybrid,Learn/Grow,30-60m,1,Bestseller Lists,Minimalist/Modern,0,0,1,1,None,1,0,0,1,1,Self-Help,1-3,1971,450,1769,No,Yes,1,Recycled Wood,Yes,One-time Purchase,Yes
RESP_0030,18-24,Tier 2,Corporate,15,E-books/Kindle,Escape/Relax,15-30m,2,Social Media/Influencers,Minimalist/Modern,1,0,1,0,Sticky Tabs,1,1,1,1,1,Sci-Fi,0,9150,884,3586,Yes,No,4,Metallic,No,One-time Purchase,Yes
RESP_0031,18-24,Tier 2,Creative/Freelancer,15,Physical Books,Escape/Relax,30-60m,4,Peer Recommendations,Dark Academia/Vintage,1,1,0,1,None,0,0,1,1,0,Mythology/History,4-6,136244,446,1643,No,Yes,1,Handloom Fabric,No,Monthly Surprise Box,No
RESP_0032,18-24,Tier 1,Creative/Freelancer,12,E-books/Kindle,Social Status,1hr+,2,Peer Recommendations,Minimalist/Modern,0,1,1,0,Sticky Tabs,1,0,1,1,0,Self-Help,1-3,13466,1123,3485,Yes,Yes,1,Recycled Wood,Yes,Monthly Surprise Box,No
RESP_0033,18-24,Tier 2,Corporate,7,E-books/Kindle,Digital Detox,15-30m,1,Social Media/Influencers,Minimalist/Modern,0,1,0,0,Sticky Tabs,1,1,0,1,1,Self-Help,1-3,4775,722,2609,No,No,5,Genuine Leather,No,One-time Purchase,No
RESP_0034,25-34,Tier 1,Creative/Freelancer,9,Physical Books,Escape/Relax,30-60m,2,Social Media/Influencers,Minimalist/Modern,1,0,1,0,Digital Notes,1,0,1,0,1,Mythology/History,4-6,8511,632,2912,Yes,No,1,Recycled Wood,Yes,Monthly Surprise Box,No
RESP_0035,25-34,Tier 1,Student,9,Hybrid,Digital Detox,30-60m,5,Bestseller Lists,Traditional Indian/Ikat,0,1,1,1,None,1,0,0,1,0,Romance,0,4102,406,2411,No,Yes,5,Metallic,Yes,Monthly Surprise Box,Maybe
RESP_0036,25-34,Tier 1,Corporate,12,E-books/Kindle,Learn/Grow,15-30m,1,Bestseller Lists,Minimalist/Modern,1,1,1,1,Sticky Tabs,1,0,0,1,1,Self-Help,1-3,16204,1163,3848,Yes,No,5,Genuine Leather,No,Monthly Surprise Box,No
RESP_0037,18-24,Tier 3,Student,10,Physical Books,Social Status,30-60m,2,Social Media/Influencers,Minimalist/Modern,1,0,0,0,Dog-ear,0,0,1,0,0,Sci-Fi,0,2816,529,2455,No,No,2,Metallic,No,Monthly Surprise Box,No
RESP_0038,18-24,Tier 2,Student,13,E-books/Kindle,Social Status,15-30m,3,Social Media/Influencers,Minimalist/Modern,0,1,1,1,Sticky Tabs,1,0,0,1,0,Self-Help,1-3,6903,745,2515,Yes,No,2,Genuine Leather,Yes,One-time Purchase,Maybe
RESP_0039,25-34,Tier 2,Corporate,10,E-books/Kindle,Learn/Grow,<15m,3,Peer Recommendations,Minimalist/Modern,1,0,0,1,Dog-ear,1,0,0,0,1,Thriller/Mystery,1-3,6979,572,2395,Yes,Yes,1,Metallic,Yes,One-time Purchase,Yes
RESP_0040,25-34,Tier 1,Corporate,9,Hybrid,Escape/Relax,30-60m,4,Peer Recommendations,Dark Academia/Vintage,1,1,1,0,Digital Notes,1,1,0,1,1,Romance,1-3,9612,693,2390,Yes,Yes,3,Metallic,Yes,One-time Purchase,No
RESP_0041,25-34,Tier 1,Corporate,15,E-books/Kindle,Digital Detox,1hr+,3,Peer Recommendations,Minimalist/Modern,1,0,1,1,Sticky Tabs,1,1,0,1,1,Mythology/History,0,22612,1565,4650,Yes,No,1,Handloom Fabric,Yes,Monthly Surprise Box,Maybe
RESP_0042,25-34,Tier 1,Student,4,Hybrid,Social Status,15-30m,1,Social Media/Influencers,Minimalist/Modern,1,0,0,1,None,1,0,0,0,0,Mythology/History,1-3,6167,800,2560,Yes,No,5,Recycled Wood,No,Monthly Surprise Box,No
RESP_0043,35+,Tier 3,Corporate,8,Physical Books,Learn/Grow,15-30m,1,Bestseller Lists,Minimalist/Modern,1,0,0,1,Digital Notes,0,0,1,0,1,Sci-Fi,0,2583,506,2614,No,No,1,Metallic,No,Monthly Surprise Box,No
RESP_0044,18-24,Tier 1,Corporate,13,Physical Books,Digital Detox,15-30m,3,Social Media/Influencers,Minimalist/Modern,1,0,1,1,None,0,0,0,0,1,Romance,1-3,5002,486,2030,Yes,Yes,5,Metallic,Yes,Monthly Surprise Box,Yes
RESP_0045,35+,Tier 2,Other,8,Physical Books,Learn/Grow,30-60m,2,Peer Recommendations,Minimalist/Modern,1,0,1,0,Digital Notes,0,0,0,0,0,Mythology/History,0,4311,572,2480,No,No,2,Metallic,No,Monthly Surprise Box,No
RESP_0046,25-34,Tier 1,Student,16,Physical Books,Digital Detox,<15m,4,Bestseller Lists,Dark Academia/Vintage,1,0,1,0,None,0,0,1,0,0,Thriller/Mystery,4-6,5731,678,2216,Yes,Yes,2,Metallic,Yes,One-time Purchase,Maybe
RESP_0047,25-34,Tier 1,Corporate,8,Physical Books,Learn/Grow,1hr+,3,Social Media/Influencers,Minimalist/Modern,1,0,1,1,Dog-ear,0,0,0,1,1,Sci-Fi,1-3,12530,852,3336,Yes,No,1,Handloom Fabric,Yes,One-time Purchase,No
RESP_0048,25-34,Tier 3,Creative/Freelancer,15,Physical Books,Learn/Grow,<15m,3,Bestseller Lists,Minimalist/Modern,1,0,1,0,Sticky Tabs,0,0,0,0,0,Mythology/History,0,5067,633,2617,Yes,No,4,Handloom Fabric,No,One-time Purchase,Maybe
RESP_0049,18-24,Tier 2,Corporate,11,Physical Books,Learn/Grow,<15m,2,Bestseller Lists,Minimalist/Modern,1,0,0,1,Digital Notes,1,0,0,0,1,Self-Help,1-3,5802,756,2603,Yes,Yes,3,Metallic,Yes,One-time Purchase,No
RESP_0050,18-24,Tier 1,Corporate,9,Physical Books,Learn/Grow,<15m,2,Bestseller Lists,Minimalist/Modern,0,0,1,0,Digital Notes,0,1,1,0,1,Romance,1-3,9688,826,3558,Yes,Yes,2,Recycled Wood,No,One-time Purchase,Maybe
RESP_0051,25-34,Tier 1,Other,11,E-books/Kindle,Escape/Relax,30-60m,2,Peer Recommendations,Minimalist/Modern,1,0,1,0,Digital Notes,1,1,0,1,1,Thriller/Mystery,0,15700,996,3076,Yes,Yes,4,Genuine Leather,No,Monthly Surprise Box,Maybe
RESP_0052,35+,Tier 1,Student,11,Physical Books,Escape/Relax,<15m,1,Peer Recommendations,Minimalist/Modern,1,1,0,1,None,0,0,1,1,1,Thriller/Mystery,4-6,6654,690,3178,Yes,No,5,Metallic,No,One-time Purchase,No
RESP_0053,25-34,Tier 2,Corporate,14,Physical Books,Learn/Grow,15-30m,5,Peer Recommendations,Traditional Indian/Ikat,0,1,0,0,Sticky Tabs,0,0,1,1,1,Mythology/History,7+,4012,401,1876,No,Yes,5,Genuine Leather,Yes,Monthly Surprise Box,Yes
RESP_0054,35+,Tier 1,Corporate,9,Physical Books,Learn/Grow,30-60m,4,Social Media/Influencers,Traditional Indian/Ikat,1,1,1,1,Digital Notes,0,0,1,1,1,Self-Help,4-6,6115,622,2324,Yes,Yes,2,Genuine Leather,Yes,One-time Purchase,Yes
RESP_0055,18-24,Tier 2,Other,14,Physical Books,Escape/Relax,<15m,5,Bestseller Lists,Traditional Indian/Ikat,1,1,1,1,Digital Notes,0,1,0,1,1,Self-Help,1-3,4634,609,2227,No,Yes,4,Handloom Fabric,Yes,One-time Purchase,Maybe
RESP_0056,18-24,Tier 3,Corporate,10,Physical Books,Escape/Relax,15-30m,2,Social Media/Influencers,Minimalist/Modern,1,0,0,1,Dog-ear,0,1,0,0,1,Sci-Fi,1-3,3589,383,1951,No,No,2,Genuine Leather,No,One-time Purchase,No
RESP_0057,18-24,Tier 1,Student,13,Hybrid,Learn/Grow,30-60m,1,Social Media/Influencers,Minimalist/Modern,1,0,0,0,Dog-ear,1,1,0,0,0,Thriller/Mystery,0,13049,983,3570,Yes,No,3,Handloom Fabric,No,Monthly Surprise Box,No
RESP_0058,25-34,Tier 1,Creative/Freelancer,6,E-books/Kindle,Social Status,30-60m,4,Social Media/Influencers,Dark Academia/Vintage,0,1,0,1,Dog-ear,1,0,0,1,1,Thriller/Mystery,1-3,10560,829,3557,Yes,Yes,3,Recycled Wood,Yes,One-time Purchase,Maybe
RESP_0059,25-34,Tier 1,Creative/Freelancer,9,Physical Books,Digital Detox,30-60m,2,Peer Recommendations,Minimalist/Modern,1,0,0,0,Digital Notes,0,1,1,1,0,Sci-Fi,4-6,11543,893,2855,Yes,No,1,Metallic,No,Monthly Surprise Box,No
RESP_0060,18-24,Tier 1,Student,13,E-books/Kindle,Learn/Grow,15-30m,4,Bestseller Lists,Dark Academia/Vintage,0,1,0,1,Digital Notes,0,0,1,1,0,Thriller/Mystery,1-3,7504,872,3631,Yes,Yes,4,Metallic,No,Monthly Surprise Box,No
RESP_0061,18-24,Tier 2,Student,6,E-books/Kindle,Escape/Relax,1hr+,1,Bestseller Lists,Minimalist/Modern,1,1,1,0,Digital Notes,1,0,1,1,1,Sci-Fi,1-3,6596,695,2438,Yes,No,1,Handloom Fabric,No,One-time Purchase,No
RESP_0062,25-34,Tier 2,Student,6,E-books/Kindle,Digital Detox,30-60m,1,Bestseller Lists,Minimalist/Modern,0,0,0,0,Dog-ear,1,0,0,0,1,Sci-Fi,0,6004,757,2711,Yes,Yes,3,Recycled Wood,No,Monthly Surprise Box,No
RESP_0063,18-24,Tier 1,Creative/Freelancer,11,Hybrid,Social Status,15-30m,1,Peer Recommendations,Minimalist/Modern,1,0,1,1,Sticky Tabs,1,0,0,0,1,Thriller/Mystery,1-3,13129,860,3077,Yes,Yes,3,Metallic,No,One-time Purchase,Maybe
RESP_0064,25-34,Tier 1,Corporate,9,Physical Books,Learn/Grow,<15m,1,Peer Recommendations,Minimalist/Modern,0,0,1,0,None,0,0,1,1,1,Romance,0,7340,687,2271,Yes,No,4,Genuine Leather,Yes,One-time Purchase,No
RESP_0065,25-34,Tier 3,Student,13,Audiobooks,Escape/Relax,<15m,4,Social Media/Influencers,Traditional Indian/Ikat,0,1,0,0,Dog-ear,0,1,1,1,0,Romance,1-3,1841,471,2378,No,Yes,2,Metallic,No,One-time Purchase,No
RESP_0066,25-34,Tier 3,Creative/Freelancer,14,Physical Books,Social Status,30-60m,2,Bestseller Lists,Minimalist/Modern,1,0,0,1,None,0,0,1,0,0,Romance,1-3,2250,336,2301,No,No,1,Genuine Leather,No,One-time Purchase,No
RESP_0067,25-34,Tier 1,Creative/Freelancer,12,Hybrid,Digital Detox,15-30m,4,Bestseller Lists,Traditional Indian/Ikat,0,1,1,1,Digital Notes,1,0,0,1,1,Sci-Fi,0,4124,692,2746,No,Yes,3,Handloom Fabric,No,One-time Purchase,Maybe
RESP_0068,25-34,Tier 2,Student,8,E-books/Kindle,Digital Detox,1hr+,1,Social Media/Influencers,Minimalist/Modern,1,0,0,1,Digital Notes,1,0,1,0,0,Mythology/History,1-3,8264,736,2761,Yes,No,2,Recycled Wood,No,Monthly Surprise Box,No
RESP_0069,18-24,Tier 1,Corporate,11,Audiobooks,Escape/Relax,<15m,5,Social Media/Influencers,Traditional Indian/Ikat,1,1,1,0,Sticky Tabs,0,1,0,1,1,Romance,1-3,7617,767,2811,Yes,Yes,5,Metallic,Yes,Monthly Surprise Box,Yes
RESP_0070,18-24,Tier 1,Creative/Freelancer,16,Audiobooks,Digital Detox,30-60m,2,Peer Recommendations,Minimalist/Modern,1,0,0,0,Sticky Tabs,0,0,0,1,1,Thriller/Mystery,1-3,6721,708,2736,Yes,No,5,Metallic,No,Monthly Surprise Box,Maybe
RESP_0071,18-24,Tier 1,Creative/Freelancer,6,E-books/Kindle,Digital Detox,15-30m,4,Peer Recommendations,Dark Academia/Vintage,1,1,1,0,Digital Notes,1,1,0,1,0,Self-Help,0,12854,979,3496,Yes,Yes,4,Genuine Leather,Yes,One-time Purchase,Maybe
RESP_0072,35+,Tier 2,Student,2,Physical Books,Escape/Relax,30-60m,2,Social Media/Influencers,Minimalist/Modern,1,1,1,0,None,0,0,1,1,0,Mythology/History,1-3,6665,790,2848,Yes,Yes,5,Genuine Leather,No,One-time Purchase,No
RESP_0073,25-34,Tier 2,Student,11,Hybrid,Digital Detox,1hr+,2,Bestseller Lists,Minimalist/Modern,1,1,0,0,Digital Notes,1,0,0,1,0,Thriller/Mystery,1-3,11716,933,3469,Yes,No,4,Metallic,Yes,One-time Purchase,No
RESP_0074,25-34,Tier 1,Corporate,9,Audiobooks,Learn/Grow,15-30m,3,Peer Recommendations,Minimalist/Modern,1,0,0,1,Dog-ear,0,1,1,1,1,Mythology/History,1-3,10537,853,2860,Yes,No,2,Handloom Fabric,Yes,Monthly Surprise Box,No
RESP_0075,25-34,Tier 3,Student,14,Hybrid,Learn/Grow,30-60m,3,Peer Recommendations,Minimalist/Modern,1,0,0,0,Digital Notes,1,1,1,0,0,Self-Help,7+,2163,327,2222,No,No,3,Handloom Fabric,Yes,Monthly Surprise Box,Yes
RESP_0076,18-24,Tier 1,Student,10,E-books/Kindle,Escape/Relax,15-30m,2,Peer Recommendations,Minimalist/Modern,1,0,0,1,Digital Notes,1,0,0,1,1,Mythology/History,4-6,3461,583,2362,No,Yes,5,Metallic,No,One-time Purchase,Maybe
RESP_0077,25-34,Tier 2,Corporate,6,Hybrid,Learn/Grow,<15m,4,Peer Recommendations,Traditional Indian/Ikat,1,1,1,0,Sticky Tabs,0,1,1,1,1,Mythology/History,1-3,10625,791,2614,Yes,Yes,2,Recycled Wood,Yes,Monthly Surprise Box,Maybe
RESP_0078,25-34,Tier 2,Other,11,Audiobooks,Escape/Relax,<15m,2,Peer Recommendations,Minimalist/Modern,0,0,1,0,Dog-ear,0,1,0,0,0,Thriller/Mystery,0,9269,959,3078,Yes,No,4,Metallic,Yes,Monthly Surprise Box,No
RESP_0079,35+,Tier 1,Student,100,Physical Books,Escape/Relax,15-30m,2,Social Media/Influencers,Minimalist/Modern,1,0,0,0,Dog-ear,1,0,1,0,0,Mythology/History,0,12190,829,2767,Yes,No,2,Genuine Leather,No,One-time Purchase,No
RESP_0080,35+,Tier 1,Corporate,5,Physical Books,Learn/Grow,15-30m,3,Peer Recommendations,Minimalist/Modern,1,1,1,0,Sticky Tabs,0,0,1,1,1,Sci-Fi,1-3,18043,1262,3832,Yes,No,5,Metallic,No,Monthly Surprise Box,No
RESP_0081,35+,Tier 2,Corporate,3,Physical Books,Escape/Relax,15-30m,2,Social Media/Influencers,Minimalist/Modern,1,0,0,0,Sticky Tabs,0,0,1,1,1,Sci-Fi,0,3189,456,1783,No,No,3,Genuine Leather,No,One-time Purchase,No
RESP_0082,18-24,Tier 2,Creative/Freelancer,8,Audiobooks,Escape/Relax,<15m,5,Peer Recommendations,Dark Academia/Vintage,0,1,1,1,None,0,0,0,1,1,Self-Help,7+,6485,691,2284,Yes,Yes,4,Handloom Fabric,No,One-time Purchase,Yes
RESP_0083,25-34,Tier 3,Corporate,12,Audiobooks,Learn/Grow,30-60m,1,Peer Recommendations,Minimalist/Modern,1,0,1,1,Digital Notes,0,1,0,1,1,Romance,0,4444,684,3057,No,No,3,Genuine Leather,No,One-time Purchase,No
RESP_0084,18-24,Tier 2,Corporate,10,E-books/Kindle,Digital Detox,1hr+,5,Peer Recommendations,Traditional Indian/Ikat,0,1,1,1,Sticky Tabs,0,1,0,1,1,Sci-Fi,1-3,6501,626,2570,Yes,Yes,3,Recycled Wood,Yes,Monthly Surprise Box,Maybe
RESP_0085,25-34,Tier 2,Creative/Freelancer,14,Physical Books,Escape/Relax,30-60m,4,Bestseller Lists,Traditional Indian/Ikat,1,1,1,1,Dog-ear,0,1,1,1,1,Mythology/History,4-6,4544,606,2560,No,Yes,1,Recycled Wood,No,One-time Purchase,Yes
RESP_0086,18-24,Tier 2,Creative/Freelancer,9,E-books/Kindle,Escape/Relax,30-60m,4,Social Media/Influencers,Dark Academia/Vintage,0,1,0,1,Digital Notes,1,1,1,1,1,Self-Help,1-3,4317,708,2412,No,Yes,5,Recycled Wood,No,Monthly Surprise Box,Maybe
RESP_0087,35+,Tier 3,Creative/Freelancer,9,Physical Books,Escape/Relax,15-30m,3,Social Media/Influencers,Minimalist/Modern,1,0,1,0,Dog-ear,0,0,1,1,1,Romance,7+,3504,484,2656,No,No,3,Handloom Fabric,No,One-time Purchase,No
RESP_0088,18-24,Tier 3,Creative/Freelancer,7,Physical Books,Digital Detox,15-30m,3,Social Media/Influencers,Minimalist/Modern,1,0,1,0,Digital Notes,0,1,1,0,0,Thriller/Mystery,1-3,2270,534,1875,No,No,4,Recycled Wood,No,One-time Purchase,No
RESP_0089,35+,Tier 1,Corporate,12,Physical Books,Digital Detox,15-30m,4,Social Media/Influencers,Dark Academia/Vintage,1,1,0,0,Dog-ear,0,1,1,1,1,Sci-Fi,0,6503,600,2173,Yes,Yes,1,Recycled Wood,No,Monthly Surprise Box,Yes
RESP_0090,35+,Tier 1,Creative/Freelancer,7,Physical Books,Learn/Grow,15-30m,1,Bestseller Lists,Minimalist/Modern,0,0,0,0,Dog-ear,0,1,0,0,1,Sci-Fi,1-3,8809,857,2924,Yes,Yes,3,Metallic,No,Monthly Surprise Box,No
RESP_0091,18-24,Tier 1,Student,4,Physical Books,Social Status,30-60m,1,Bestseller Lists,Minimalist/Modern,1,1,0,0,Digital Notes,0,0,1,1,0,Sci-Fi,1-3,6569,760,3176,Yes,No,5,Genuine Leather,No,One-time Purchase,No
RESP_0092,25-34,Tier 3,Corporate,8,Audiobooks,Digital Detox,1hr+,5,Social Media/Influencers,Dark Academia/Vintage,0,1,0,0,None,0,0,1,1,1,Thriller/Mystery,4-6,1753,389,2459,No,Yes,2,Genuine Leather,Yes,Monthly Surprise Box,Yes
RESP_0093,25-34,Tier 3,Student,100,Hybrid,Social Status,30-60m,2,Bestseller Lists,Minimalist/Modern,1,0,0,1,Digital Notes,1,0,0,0,0,Self-Help,1-3,162068,495,2113,No,No,4,Recycled Wood,No,Monthly Surprise Box,No
RESP_0094,35+,Tier 1,Corporate,4,Physical Books,Learn/Grow,<15m,2,Social Media/Influencers,Minimalist/Modern,1,0,0,0,Dog-ear,0,1,1,0,1,Thriller/Mystery,1-3,8021,879,3104,Yes,No,1,Handloom Fabric,No,One-time Purchase,No
RESP_0095,35+,Tier 1,Student,6,Physical Books,Digital Detox,30-60m,2,Peer Recommendations,Minimalist/Modern,0,0,1,0,Dog-ear,0,1,1,0,1,Mythology/History,1-3,13989,1054,4067,Yes,No,4,Genuine Leather,No,Monthly Surprise Box,No
RESP_0096,35+,Tier 1,Corporate,3,Physical Books,Learn/Grow,<15m,5,Bestseller Lists,Dark Academia/Vintage,1,1,1,0,None,0,0,0,1,1,Mythology/History,1-3,27503,1605,4899,Yes,Yes,1,Genuine Leather,No,One-time Purchase,Yes
